year,period,mp_poor,cbi_poor,r,eurostox,iprod,cpi,spr_nfc_bund_ea,neer
1999,1,0.1958,-3.3808,2.883,816.18,455.07,430.51,1.1501,462.68
1999,2,-0.13619,-0,3.016,814.64,452.94,430.54,0.91531,460.45
1999,3,-0.32789,-0,2.871,816.74,454.22,430.74,0.97392,458.66
1999,4,-0.52052,-0.69333,2.616,820.84,454.44,431.11,1.0061,457.39
1999,5,0.4622,-0.13619,2.667,820.79,454.54,431.09,0.94259,456.87
1999,6,0.029803,-0.81284,2.889,822.94,455.49,431.12,0.8696,454.97
1999,7,0.055972,2.3764,2.987,825.49,456.43,431.33,0.88631,455.09
1999,8,-0,-0.27986,3.088,821.37,455.7,431.51,0.90437,455.92
1999,9,-4.5006,-0,3.152,823.56,456.75,431.62,0.8185,454.2
1999,10,-0,-15.48,3.427,822.75,457.68,431.78,0.84815,455.1
1999,11,0,4.5519,3.502,833.33,458.19,431.95,0.85908,452.66
1999,12,-0.31081,-0,3.662,843.17,457.68,432.21,0.84686,450.67
2000,1,-0.010436,-1.858,3.889,845.84,458.39,432.36,0.70782,450.71
2000,2,-0.13619,3.4703,3.892,853.5,459.41,432.52,0.75436,449.38
2000,3,-8.0186,-0,4.139,857.87,459.92,432.74,0.80796,447.81
2000,4,0,0.76122,4.347,854.66,460.22,432.73,0.80828,445.96
2000,5,-1.5412,1.855,4.739,855.15,462.2,432.86,0.90901,444.05
2000,6,15.857,0,4.872,857.07,460.52,433.26,1.0083,447.52
2000,7,2.3216,-0.87122,5.036,856.17,461.41,433.38,1.0315,446.9
2000,8,-6.5024,-1.4405,5.14,854.71,462.79,433.57,1.032,444.16
2000,9,-3.1486,-0,5.094,854.34,461.91,434.06,1.1165,442.09
2000,10,7.1489,0.11412,5.173,849.56,461.71,434.12,1.188,440.5
2000,11,-0.20024,-2.2277,4.949,850.97,462.6,434.42,1.3707,441.36
2000,12,0,2.1325,4.631,847.37,464.25,434.29,1.4458,444.77
2001,1,0.45343,0,4.466,846.16,462.6,434.22,1.3546,448.83
2001,2,0,1.1668,4.525,841.76,463.18,434.52,1.4063,447.91
2001,3,8.6639,0.49098,4.289,834.26,462.79,434.74,1.4385,447.77
2001,4,0,17.84,4.748,836.81,461.41,435.12,1.2518,446.72
2001,5,-21.523,0,4.395,840.78,462.6,435.56,1.1853,444.97
2001,6,0.071411,3.9867,4.266,836.4,462.6,435.72,1.2342,443.51
2001,7,2.0075,1.8051,4.176,830.35,460.82,435.77,1.2005,444.16
2001,8,5.9922,-4.4876,3.997,826.48,463.28,435.84,1.1929,446.97
2001,9,1.2333,0,3.457,809.47,461.61,436.08,1.7274,447.33
2001,10,2.3536,7.9678,3.208,814.35,461.02,436.09,1.7289,447.26
2001,11,3.1228,0,3.163,820.92,460.22,436.09,1.5088,445.87
2001,12,3.3255,0,3.31,821.91,460.62,436.21,1.4978,446.63
2002,1,0,1.5672,3.504,821.34,460.62,436.84,1.4295,446.32
2002,2,0,3.4297,3.49,817.12,460.82,436.96,1.6313,445.35
2002,3,0,1.1977,3.908,822.8,461.71,437.19,1.4115,445.49
2002,4,-0,-1.7402,3.679,820.48,461.12,437.46,1.5688,445.96
2002,5,5.2037,0,3.973,816.15,461.21,437.56,1.5054,447.74
2002,6,0.75872,0,3.681,805.3,461.71,437.58,1.8305,450.13
2002,7,-0,-0.96607,3.409,794.12,461.12,437.79,1.9948,451.41
2002,8,0.0017347,0,3.33,790.01,461.91,437.95,1.9351,450.72
2002,9,-0,-2.846,3.044,780.39,462.01,438.15,2.3152,450.78
2002,10,2.8204,0,3.027,777.68,461.51,438.33,2.1621,451.09
2002,11,1.8715,0,2.95,784.74,462.2,438.33,2.0786,452.13
2002,12,-0,-4.058,2.654,781.48,460.42,438.49,2.0484,453.22
2003,1,0,2.4062,2.567,777.38,461.91,438.96,1.948,455.63
2003,2,1.7356,0,2.293,768.29,462.1,439.27,1.9623,456.99
2003,3,3.179,0,2.331,764.32,462.2,439.56,1.8161,457.79
2003,4,1.8073,0,2.327,773.12,462.01,439.44,1.4005,458.48
2003,5,3.8565,0,2.092,774.2,460.32,439.4,1.4319,462.4
2003,6,-0,-6.0746,1.986,780.11,460.62,439.56,1.2527,462.57
2003,7,0.53121,0.52887,2.129,780.79,461.91,439.73,1.2162,461.36
2003,8,0,0,2.236,783.36,460.42,439.96,1.0556,460.24
2003,9,-0,-0.8158,2.048,784.51,460.62,440.22,1.0568,460.02
2003,10,1.4227,0,2.292,783.33,462.4,440.31,0.9384,461.58
2003,11,0,0.4267,2.355,787.02,462.3,440.39,0.95717,461.46
2003,12,-0,-1.3595,2.208,790.18,462.3,440.44,0.93284,464.2
2004,1,-0.86877,-0,2.155,795.13,462.69,440.78,1.0333,465.18
2004,2,-0,-1.1296,2.003,796.37,462.99,440.93,1.0236,464.85
2004,3,0,3.8736,1.902,794.77,463.08,441.23,0.93574,463.24
2004,4,7.4719,0,2.125,795.89,463.38,441.51,0.85298,461.54
2004,5,1.0456,0,2.299,791.15,463.57,441.79,0.87707,462.36
2004,6,-1.2925,-0,2.313,793.46,463.76,441.9,0.76227,462.21
2004,7,-0,-0.078038,2.243,791.22,464.05,442.03,0.74391,462.82
2004,8,-0.14749,-0,2.231,788.12,462.69,442.26,0.73156,462.73
2004,9,1.1369,0,2.315,791.89,463.86,442.32,0.67321,463.21
2004,10,-0,-1.2236,2.239,793.54,464.34,442.59,0.69393,464.37
2004,11,-0,-0.69565,2.245,796.65,463.57,442.59,0.65151,465.63
2004,12,1.4058,0,2.285,798.14,462.89,442.71,0.62848,467.02
2005,1,-3.919,-0,2.212,799.19,464.34,442.76,0.56248,466.11
2005,2,-0,-0.66928,2.231,802.3,463.76,442.99,0.50146,465.51
2005,3,-0.97007,-0,2.261,802.81,463.47,443.34,0.58806,466.19
2005,4,-0,-1.6754,2.115,801.09,465.59,443.59,0.708,465.13
2005,5,0,0.056169,2.071,801.42,464.25,443.68,0.64929,464.13
2005,6,1.5583,0,2.003,805.57,465.21,443.88,0.62123,461.54
2005,7,0,2.082,2.146,809.17,465.78,444.19,0.58747,462.37
2005,8,-0,-0.036595,2.132,810.27,464.82,444.44,0.56471,462.99
2005,9,-0.77384,-0,2.264,811.73,466.53,444.86,0.52908,462.51
2005,10,-0.34392,-0,2.467,811.37,465.97,444.98,0.54486,462.12
2005,11,-1.0194,-0,2.637,813.3,467.19,444.82,0.57687,461.44
2005,12,-2.9032,-0,2.724,817.47,467.38,444.9,0.59505,461.55
2006,1,-2.5399,-0,2.763,819.61,466.81,445.17,0.58529,462.32
2006,2,-0.87516,-0,2.821,822.79,467.19,445.33,0.61062,461.72
2006,3,1.0157,0,3.117,824.67,467.28,445.5,0.59872,462.4
2006,4,-9.4206,-0,3.13,825.18,468.03,445.88,0.55376,463.42
2006,5,-0,-0.12823,3.178,822.33,469.32,446.14,0.62678,464.22
2006,6,-3.9325,-0,3.372,816.87,469.59,446.31,0.64768,464.23
2006,7,2.1446,0,3.37,819.35,469.5,446.6,0.65112,464.55
2006,8,2.818,0,3.469,822.79,469.77,446.74,0.63113,464.71
2006,9,0,0,3.609,824.74,470.32,446.59,0.68568,464.53
2006,10,-0.15681,-0,3.687,828.8,469.87,446.53,0.58535,464.19
2006,11,-0,-0.54958,3.697,830.72,470.95,446.66,0.61328,464.96
2006,12,0,2.1971,3.879,831.15,473.27,446.77,0.60407,466.1
2007,1,-4.648,-0,3.958,833.27,471.4,447.03,0.54584,465.49
2007,2,0.89417,0,3.944,835,472.21,447.18,0.54953,466.01
2007,3,0,0.93711,4.073,831.15,472.74,447.39,0.56228,466.86
2007,4,-0,-0.45812,4.161,837.35,471.49,447.82,0.49797,467.92
2007,5,-0,-0.61644,4.326,839.95,473.18,448.04,0.50555,468.1
2007,6,-0,-1.0682,4.407,840.52,473,448.19,0.54011,467.68
2007,7,0.080435,0,4.382,840.04,473.09,448.39,0.70942,468.4
2007,8,-0,-0.46515,4.096,834.77,473.8,448.48,0.79418,467.96
2007,9,-3.863,-0,4.035,836.27,473.71,448.69,0.86223,469.07
2007,10,-0,-0.37972,4.161,839.63,473.97,449.04,0.86603,470.24
2007,11,-0,-2.3014,4.02,836.98,473.36,449.64,1.1203,471.88
2007,12,2.368,0,4.067,838.62,473.8,449.78,1.1053,472.4
2008,1,-0,-0.33909,3.7,830.45,475.19,450.23,1.3022,473.17
2008,2,-0,-5.6024,3.652,823.66,475.27,450.36,1.4251,473.09
2008,3,3.232,0,3.771,818.52,474.23,450.83,1.5298,475.82
2008,4,-0.11316,-0,4.028,823.43,474.93,451.04,1.3437,477.5
2008,5,-0,-1.3164,4.271,824.61,472.21,451.62,1.2945,477.23
2008,6,15.656,0,4.68,816.84,472.03,452.08,1.4047,477.45
2008,7,-10.073,-0,4.45,810.13,471.67,452.39,1.3941,478.2
2008,8,-0,-5.2063,4.321,811.55,471.04,452.19,1.5147,476.14
2008,9,-0,-0.78751,3.336,806.89,470.05,452.28,2.1541,474.53
2008,10,-0,-6.4022,2.502,787.37,468.12,452.14,3.7046,470.76
2008,11,18.956,0,1.999,780.5,464.34,451.72,3.6009,470.19
2008,12,4.9192,0,1.715,778.61,461.02,451.34,3.6187,475.11
2009,1,-0,-2.3339,1.161,776,457.99,451.4,3.3059,474.14
2009,2,-0,-6.0438,1.029,767.78,456.23,451.56,3.0889,472.1
2009,3,0,0.0044032,0.855,759.79,454.75,451.45,3.0802,474.87
2009,4,7.6608,0,0.897,772.15,453.58,451.59,2.6099,474.17
2009,5,0,0,0.944,779.43,455.28,451.66,2.2167,474.52
2009,6,0,4.1882,0.832,780.34,455.39,451.93,2.0361,475.22
2009,7,-0,-6.751,0.622,780.88,455.6,451.76,1.7232,475.41
2009,8,0,0,0.599,790.2,455.28,452.02,1.6436,475.49
2009,9,-0,-4.8003,0.682,794.73,457.68,451.95,1.6451,476.7
2009,10,-0,-2.6807,0.723,796.05,457.26,451.97,1.5451,477.78
2009,11,0,0,0.81,795.29,457.47,452.18,1.5188,477.49
2009,12,-3.893,-0,0.796,797.51,457.26,452.22,1.425,476.54
2010,1,-0,-1.5083,0.611,798.03,458.6,452.5,1.4241,474.47
2010,2,0,0,0.536,791.11,457.26,452.55,1.4735,471.93
2010,3,-1.4032,-0,0.504,796.92,459.81,452.88,1.3327,471.62
2010,4,0.39461,0,0.453,798.52,460.12,453.22,1.3759,470.14
2010,5,0,0,0.263,787.93,461.41,453.28,1.9528,466.47
2010,6,-0.37545,-0,0.432,787.92,462.3,453.36,1.872,463.87
2010,7,0,4.7825,0.506,788.96,460.72,453.5,1.576,465.69
2010,8,0,0,0.476,790.55,460.42,453.59,1.6405,465.32
2010,9,-0,-1.3994,0.708,792.52,461.51,453.7,1.6225,465.7
2010,10,-0.39146,-0,0.865,794.37,462.6,453.87,1.478,469.71
2010,11,0,0,0.695,794.08,462.6,454.06,1.6632,468.34
2010,12,-0,-2.8146,0.603,794.65,462.4,454.39,1.6156,465.74
2011,1,3.9115,0,0.963,797.27,463.47,454.88,1.4374,465.84
2011,2,0,0,1.115,801.16,464.54,455.12,1.3582,466.97
2011,3,13.577,0,1.275,796.91,464.15,455.5,1.3267,468.67
2011,4,0,1.3387,1.357,798.86,463.96,455.84,1.2473,470.72
2011,5,0,0,1.371,796.75,464.44,455.89,1.2797,469.57
2011,6,-2.238,-0,1.441,792.54,462.6,455.92,1.4943,469.57
2011,7,0,1.2703,1.12,791.7,464.15,456.15,1.6252,468.37
2011,8,0,0,0.639,773.95,464.05,456.3,2.4569,467.76
2011,9,-0,-0.55348,0.377,766.12,462.69,456.54,2.7273,466.69
2011,10,14.765,0,0.389,774.6,462.5,456.77,2.2453,466.94
2011,11,0,0,-0.024,771.4,462.69,456.99,2.7622,466.13
2011,12,-0,-0.7279,-0.081,773.34,462.3,457.08,2.7076,464.26
2012,1,-0,-0.30683,0.076,777.57,461.41,457.53,2.2996,462.29
2012,2,0,0,0.119,782.73,460.32,457.83,1.9419,463.53
2012,3,-0,-0.30984,0.118,783.68,461.81,458.15,1.8458,463.89
2012,4,0.060084,0,0.025,775.82,460.72,458.4,1.9701,463.26
2012,5,0,0,0.008,769.55,461.12,458.29,2.2495,461.38
2012,6,2.6573,0,0.035,767.45,460.52,458.29,2.8098,460.32
2012,7,-0,-10.749,-0.056,772.24,460.92,458.5,2.545,458.3
2012,8,0,0,-0.015,779.34,461.81,458.85,2.2681,458.35
2012,9,0,0.15833,-0.018,783.62,460.12,459.12,2.2386,460.61
2012,10,0.29019,0,-0.005,782.54,459.11,459.25,2.0069,461.47
2012,11,0,0,-0.003,782.96,458.29,459.18,1.93,460.87
2012,12,-0,-1.1168,0,787.3,458.9,459.28,1.8506,462.55
2013,1,0,1.5145,0.143,790.67,457.78,459.52,1.8828,464.46
2013,2,0,0,0.008,787.49,458.29,459.65,1.9238,466.03
2013,3,1.3606,0,0.008,789.36,459.01,459.77,1.8677,464.51
2013,4,-0,-0.43318,0.003,787.71,459.31,459.69,1.6114,464.79
2013,5,0,0,0.001,793.23,459.01,459.73,1.5083,465.18
2013,6,1.8026,0,0.086,788.45,459.71,459.87,1.7584,466.08
2013,7,-2.1706,-0,0.05,789.6,459.21,460.03,1.6803,466.21
2013,8,0,0,0.102,793.87,459.81,460.11,1.6199,466.93
2013,9,-0.67628,-0,0.091,796.02,459.81,460.17,1.6766,466.46
2013,10,-0,-0.077841,0.062,800.27,459.41,460,1.562,467.54
2013,11,0,0,0.079,802.49,460.52,460.01,1.5134,467.06
2013,12,1.2356,0,0.137,800.98,460.42,460.2,1.3945,468.21
2014,1,-0,-0.91604,0.057,803.67,460.02,460.3,1.4516,467.78
2014,2,0,0,0.111,803.46,460.32,460.36,1.3454,467.7
2014,3,3.7875,0,0.14,803.72,459.92,460.31,1.3394,468.49
2014,4,0,1.9626,0.143,806.2,460.82,460.36,1.2316,468.17
2014,5,0,0,0.064,807.01,459.11,460.27,1.2384,467.39
2014,6,-1.9727,-0,0.01,809.31,459.51,460.35,1.1971,466.53
2014,7,-0.63074,-0,0.008,806.85,460.12,460.35,1.1706,466.04
2014,8,0,0,-0.029,803.56,458.8,460.4,1.1389,465.38
2014,9,-5.95,-0,-0.077,808.13,459.31,460.49,1.1246,463.91
2014,10,0.2795,0,-0.069,801.62,459.21,460.39,1.1419,463.22
2014,11,0,0,-0.08,804.76,458.9,460.32,1.0755,463.28
2014,12,0.66468,0,-0.094,805.83,460.42,460.04,1.0954,463.2
2015,1,-0.99274,-0,-0.168,807.32,460.02,459.9,1.0611,458.39
2015,2,0,0,-0.21,814.72,459.92,460.24,0.96751,456.24
2015,3,-0,-0.44388,-0.244,820.39,460.52,460.43,1.0784,453.33
2015,4,0,0.53052,-0.279,822.52,461.02,460.54,1.0263,452.45
2015,5,0,0,-0.251,819.36,460.92,460.72,1.0972,454.21
2015,6,-0,-0.27627,-0.26,816.67,460.62,460.77,1.3196,454.99
2015,7,-0.058468,-0,-0.246,817.33,461.12,460.69,1.2169,453.98
2015,8,0,0,-0.287,814.45,459.92,460.61,1.285,455.64
2015,9,-0.35287,-0,-0.296,806.01,460.42,460.56,1.5701,456.65
2015,10,-2.414,-0,-0.374,809.42,461.02,460.64,1.3841,456.42
2015,11,0,0,-0.386,814.31,460.52,460.67,1.3323,453.36
2015,12,9.6175,0,-0.389,809.82,460.22,460.47,1.398,454.77
2016,1,-2.5829,-0,-0.469,801.65,462.89,460.22,1.6055,455.88
2016,2,0,0,-0.515,795.95,462.01,460.15,1.6414,457.47
2016,3,0,4.9688,-0.483,801.68,461.71,460.35,1.2659,456.91
2016,4,0.040271,0,-0.522,801.67,462.99,460.36,1.1797,457.79
2016,5,0,0,-0.552,800.09,461.21,460.6,1.2563,457.63
2016,6,-0,-0.21306,-0.638,797.62,461.61,460.82,1.3996,457.12
2016,7,0,2.3197,-0.621,797.9,461.71,460.84,1.2041,457.66
2016,8,0,0,-0.625,800.4,462.89,460.82,1.1241,458.38
2016,9,1.1973,0,-0.681,801.04,462.1,460.95,1.2455,458.47
2016,10,-0.21472,-0,-0.713,802.04,462.4,461.15,1.1288,458.98
2016,11,0,0,-0.821,801.51,463.18,461.26,1.3646,457.76
2016,12,0,0.042719,-0.852,807.32,463.08,461.57,1.3206,456.38
2017,1,-0.14508,-0,-0.691,810.13,462.6,461.91,1.239,456.88
2017,2,0,0,-0.915,809.96,463.96,462.09,1.3892,456.29
2017,3,0,0.059581,-0.762,813.95,464.15,461.99,1.2416,457
2017,4,-0.44674,-0,-0.769,815.82,465.01,462.16,1.1773,456.65
2017,5,0,0,-0.781,818.92,465.3,462.04,1.1382,458.95
2017,6,-0,-0.30023,-0.687,817.41,465.11,462.01,1.0294,460.21
2017,7,-1.2082,-0,-0.694,815.59,465.59,462.08,0.98907,461.77
2017,8,0,0,-0.757,814.65,466.63,462.26,1.0917,463.82
2017,9,-0.15486,-0,-0.741,816.26,465.78,462.48,1.0407,463.9
2017,10,-0.0014745,-0,-0.774,819.28,465.68,462.52,0.998,463.49
2017,11,0,0,-0.744,818.91,467.38,462.82,0.99555,463.53
2017,12,-0.281,-0,-0.688,817.88,468.03,462.93,0.94665,463.91
2018,1,-0,-0.15872,-0.627,819.21,466.16,463.2,0.80537,465.07
2018,2,0,0,-0.683,813.94,465.97,463.22,0.89342,465.54
2018,3,0,0.050231,-0.694,812.39,467.28,463.36,1.0121,465.65
2018,4,-0,-0.2273,-0.66,814.83,467.1,463.49,0.94985,465.51
2018,5,0,0,-0.675,817.11,467.47,463.88,1.2372,463.73
2018,6,-0.78654,-0,-0.671,814.4,467.28,464.02,1.2761,463.07
2018,7,-0.13619,-0,-0.66,814.93,466.16,464.18,1.1508,463.69
2018,8,0,0,-0.649,814.23,466.72,464.29,1.3299,463.18
2018,9,-0,-0.24067,-0.62,812.13,466.63,464.55,1.2298,463.54
2018,10,-0,-0.025436,-0.694,808.47,466.53,464.78,1.4402,462.67
2018,11,0,0,-0.667,806.66,465.68,464.76,1.5605,462.02
2018,12,-0.22266,-0,-0.646,802.55,466.44,464.45,1.6047,462.44
2019,1,-0,-0.50135,-0.541,803.55,466.25,464.47,1.4866,462
2019,2,0,0,-0.558,807.81,467.1,464.6,1.3659,461.62
2019,3,-0,-0.72457,-0.582,811.16,467.38,464.78,1.4093,461.08
2019,4,-0.45816,-0,-0.566,814.87,467.1,465.11,1.2886,460.92
2019,5,0,0,-0.63,812.72,467,465.18,1.4741,461.24
2019,6,2.2419,0,-0.683,813.33,465.68,465.22,1.4761,461.82
